time,algorithm,allocatedBytes,freeBytes,requiredBytes,externalFragments,percentMemoryInUse,percentMemoryFree,percentInternalFragmentation
2740,FF,0,40000,0,1,0,100,0
2740,NF,0,40000,0,1,0,100,0
2740,BF,0,40000,0,1,0,100,0
2740,WF,0,40000,0,1,0,100,0
2760,FF,0,40000,0,1,0,100,0
2760,NF,0,40000,0,1,0,100,0
2760,BF,0,40000,0,1,0,100,0
2760,WF,0,40000,0,1,0,100,0
2780,FF,0,40000,0,1,0,100,0
2780,NF,0,40000,0,1,0,100,0
2780,BF,0,40000,0,1,0,100,0
2780,WF,0,40000,0,1,0,100,0
2800,FF,0,40000,0,1,0,100,0
2800,NF,0,40000,0,1,0,100,0
2800,BF,0,40000,0,1,0,100,0
2800,WF,0,40000,0,1,0,100,0
2820,FF,0,40000,0,1,0,100,0
2820,NF,0,40000,0,1,0,100,0
2820,BF,0,40000,0,1,0,100,0
2820,WF,0,40000,0,1,0,100,0
2840,FF,0,40000,0,1,0,100,0
2840,NF,0,40000,0,1,0,100,0
2840,BF,0,40000,0,1,0,100,0
2840,WF,0,40000,0,1,0,100,0
2860,FF,0,40000,0,1,0,100,0
2860,NF,0,40000,0,1,0,100,0
2860,BF,0,40000,0,1,0,100,0
2860,WF,0,40000,0,1,0,100,0
2880,FF,0,40000,0,1,0,100,0
2880,NF,0,40000,0,1,0,100,0
2880,BF,0,40000,0,1,0,100,0
2880,WF,0,40000,0,1,0,100,0
2900,FF,0,40000,0,1,0,100,0
2900,NF,0,40000,0,1,0,100,0
2900,BF,0,40000,0,1,0,100,0
2900,WF,0,40000,0,1,0,100,0
2920,FF,0,40000,0,1,0,100,0
2920,NF,0,40000,0,1,0,100,0
2920,BF,0,40000,0,1,0,100,0
2920,WF,0,40000,0,1,0,100,0
2940,FF,0,40000,0,1,0,100,0
2940,NF,0,40000,0,1,0,100,0
2940,BF,0,40000,0,1,0,100,0
2940,WF,0,40000,0,1,0,100,0
2960,FF,0,40000,0,1,0,100,0
2960,NF,0,40000,0,1,0,100,0
2960,BF,0,40000,0,1,0,100,0
2960,WF,0,40000,0,1,0,100,0
2980,FF,0,40000,0,1,0,100,0
2980,NF,0,40000,0,1,0,100,0
2980,BF,0,40000,0,1,0,100,0
2980,WF,0,40000,0,1,0,100,0
3000,FF,0,40000,0,1,0,100,0
3000,NF,0,40000,0,1,0,100,0
3000,BF,0,40000,0,1,0,100,0
3000,WF,0,40000,0,1,0,100,0
3020,FF,0,40000,0,1,0,100,0
3020,NF,0,40000,0,1,0,100,0
3020,BF,0,40000,0,1,0,100,0
3020,WF,0,40000,0,1,0,100,0
3040,FF,0,40000,0,1,0,100,0
3040,NF,0,40000,0,1,0,100,0
3040,BF,0,40000,0,1,0,100,0
3040,WF,0,40000,0,1,0,100,0
3060,FF,0,40000,0,1,0,100,0
3060,NF,0,40000,0,1,0,100,0
3060,BF,0,40000,0,1,0,100,0
3060,WF,0,40000,0,1,0,100,0
3080,FF,0,40000,0,1,0,100,0
3080,NF,0,40000,0,1,0,100,0
3080,BF,0,40000,0,1,0,100,0
3080,WF,0,40000,0,1,0,100,0
3100,FF,0,40000,0,1,0,100,0
3100,NF,0,40000,0,1,0,100,0
3100,BF,0,40000,0,1,0,100,0
3100,WF,0,40000,0,1,0,100,0
3120,FF,0,40000,0,1,0,100,0
3120,NF,0,40000,0,1,0,100,0
3120,BF,0,40000,0,1,0,100,0
3120,WF,0,40000,0,1,0,100,0
3140,FF,0,40000,0,1,0,100,0
3140,NF,0,40000,0,1,0,100,0
3140,BF,0,40000,0,1,0,100,0
3140,WF,0,40000,0,1,0,100,0
3160,FF,0,40000,0,1,0,100,0
3160,NF,0,40000,0,1,0,100,0
3160,BF,0,40000,0,1,0,100,0
3160,WF,0,40000,0,1,0,100,0
3180,FF,0,40000,0,1,0,100,0
3180,NF,0,40000,0,1,0,100,0
3180,BF,0,40000,0,1,0,100,0
3180,WF,0,40000,0,1,0,100,0
3200,FF,0,40000,0,1,0,100,0
3200,NF,0,40000,0,1,0,100,0
3200,BF,0,40000,0,1,0,100,0
3200,WF,0,40000,0,1,0,100,0
3220,FF,0,40000,0,1,0,100,0
3220,NF,0,40000,0,1,0,100,0
3220,BF,0,40000,0,1,0,100,0
3220,WF,0,40000,0,1,0,100,0
3240,FF,0,40000,0,1,0,100,0
3240,NF,0,40000,0,1,0,100,0
3240,BF,0,40000,0,1,0,100,0
3240,WF,0,40000,0,1,0,100,0
3260,FF,0,40000,0,1,0,100,0
3260,NF,0,40000,0,1,0,100,0
3260,BF,0,40000,0,1,0,100,0
3260,WF,0,40000,0,1,0,100,0
3280,FF,0,40000,0,1,0,100,0
3280,NF,0,40000,0,1,0,100,0
3280,BF,0,40000,0,1,0,100,0
3280,WF,0,40000,0,1,0,100,0
3300,FF,0,40000,0,1,0,100,0
3300,NF,0,40000,0,1,0,100,0
3300,BF,0,40000,0,1,0,100,0
3300,WF,0,40000,0,1,0,100,0
3320,FF,0,40000,0,1,0,100,0
3320,NF,0,40000,0,1,0,100,0
3320,BF,0,40000,0,1,0,100,0
3320,WF,0,40000,0,1,0,100,0
3340,FF,0,40000,0,1,0,100,0
3340,NF,0,40000,0,1,0,100,0
3340,BF,0,40000,0,1,0,100,0
3340,WF,0,40000,0,1,0,100,0
3360,FF,0,40000,0,1,0,100,0
3360,NF,0,40000,0,1,0,100,0
3360,BF,0,40000,0,1,0,100,0
3360,WF,0,40000,0,1,0,100,0
3380,FF,0,40000,0,1,0,100,0
3380,NF,0,40000,0,1,0,100,0
3380,BF,0,40000,0,1,0,100,0
3380,WF,0,40000,0,1,0,100,0
3400,FF,0,40000,0,1,0,100,0
3400,NF,0,40000,0,1,0,100,0
3400,BF,0,40000,0,1,0,100,0
3400,WF,0,40000,0,1,0,100,0
3420,FF,0,40000,0,1,0,100,0
3420,NF,0,40000,0,1,0,100,0
3420,BF,0,40000,0,1,0,100,0
3420,WF,0,40000,0,1,0,100,0
3440,FF,0,40000,0,1,0,100,0
3440,NF,0,40000,0,1,0,100,0
3440,BF,0,40000,0,1,0,100,0
3440,WF,0,40000,0,1,0,100,0
3460,FF,0,40000,0,1,0,100,0
3460,NF,0,40000,0,1,0,100,0
3460,BF,0,40000,0,1,0,100,0
3460,WF,0,40000,0,1,0,100,0
3480,FF,0,40000,0,1,0,100,0
3480,NF,0,40000,0,1,0,100,0
3480,BF,0,40000,0,1,0,100,0
3480,WF,0,40000,0,1,0,100,0
3500,FF,0,40000,0,1,0,100,0
3500,NF,0,40000,0,1,0,100,0
3500,BF,0,40000,0,1,0,100,0
3500,WF,0,40000,0,1,0,100,0
